MID;URL
M85958797;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:115
M85958795;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:114
M85958792;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:113
M85958790;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:112
M85958787;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:111
M85958783;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:109
M85958780;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:107
M85958776;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:105
M85958775;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:103
M85958773;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:102
M85958770;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:101
M85958767;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:099
M85958764;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:098
M85958762;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:095
M85958761;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:094
M85958759;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:093a
M85900243;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:093
M85900242;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:091
M85900240;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:090
M85900239;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:089
M85900237;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:087
M85900235;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:085
M85900233;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:083
M85900232;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:081
M85900229;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:079
